id,topic,question,A,B,C,D,answer,explanation
1,Biến & kiểu dữ liệu,type(3.0) trả về kiểu gì?,int,float,str,double,B,3.0 là số thực nên kiểu là float. Python không có kiểu double.
2,Biến & kiểu dữ liệu,"Kết quả của ""5"" + ""3"" là gì?",8,"""53""",Báo lỗi,53.0,B,"Toán tử + với hai chuỗi sẽ nối chuỗi lại thành ""53""."
3,Biến & kiểu dữ liệu,"Lệnh nào chuyển chuỗi ""12"" thành số nguyên?","str(""12"")","int(""12"")","float(""12"")","bool(""12"")",B,Hàm int() chuyển chuỗi số thành số nguyên.
4,Vòng lặp & điều kiện,for i in range(3): print(i) in ra gì?,1 2 3,0 1 2 3,0 1 2,1 2,C,"range(3) sinh ra 0, 1, 2 (không gồm 3)."
5,Vòng lặp & điều kiện,Từ khóa nào dùng để thoát khỏi vòng lặp ngay lập tức?,continue,break,exit,stop,B,break dừng hẳn vòng lặp; continue chỉ bỏ qua lần lặp hiện tại.
6,Vòng lặp & điều kiện,"range(1, 10, 3) gồm những số nào?","1, 4, 7","1, 4, 7, 10","1, 3, 6, 9","3, 6, 9",A,"Bắt đầu từ 1, mỗi lần tăng 3 và dừng trước 10 nên được 1, 4, 7."
7,Hàm,Từ khóa nào dùng để định nghĩa hàm?,function,def,fun,lambda,B,Hàm trong Python được khai báo bằng từ khóa def.
8,Hàm,Một hàm không có lệnh return sẽ trả về gì?,0,"""""",None,False,C,Hàm không return thì mặc định trả về None.
9,Hàm,"Với def f(a, b=2): return a*b thì f(3) bằng bao nhiêu?",3,5,6,Báo lỗi,C,b có giá trị mặc định là 2 nên f(3) = 3*2 = 6.
10,List & Dict,"[1, 2, 3][-1] có giá trị là gì?",1,2,3,Báo lỗi,C,Chỉ số -1 là phần tử cuối cùng của list.
11,List & Dict,Phương thức nào thêm phần tử vào cuối list?,add(),append(),insert(),push(),B,append() thêm một phần tử vào cuối list.
12,List & Dict,"Cách nào lấy giá trị từ dict d mà không báo lỗi khi khóa ""b"" không tồn tại?","d[""b""]","d.get(""b"")",d.b,"d.find(""b"")",B,"d.get(""b"") trả về None nếu khóa không có; d[""b""] sẽ báo KeyError."
13,File & thư viện,Cách mở file nào tự động đóng file sau khi dùng xong?,"f = open(""a.txt"")","with open(""a.txt"") as f:","open(""a.txt"").close","file(""a.txt"")",B,Câu lệnh with tự đóng file khi thoát khỏi khối lệnh.
14,File & thư viện,Thư viện nào thường dùng để xử lý dữ liệu dạng bảng?,pygame,pandas,flask,turtle,B,pandas cung cấp DataFrame để xử lý và thống kê dữ liệu dạng bảng.
15,File & thư viện,Flask là gì?,Thư viện vẽ biểu đồ,Framework web nhẹ,Thư viện làm game,Thư viện học máy,B,Flask là framework web nhẹ của Python.
